priflik	publik	Util
7.89179e-08	0.305357	2.43416e-10
5.62811e-12	0.389901	2.21657e-14
9.1138e-08	0.476813	4.38948e-10
9.72386e-06	0.608457	5.97631e-08
2.77546e-05	0.793543	2.22469e-07
0.000410077	1	4.14217e-06
5.53212e-09	0.96983	5.41941e-11
0.000304108	0.00113738	3.49381e-09
2.33439e-07	0.00298585	7.04056e-12
1.97474e-05	6.62622e+13	1
0.0201802	0.0205967	4.19842e-06
3.49699e-06	0.0314106	1.10952e-09
0.000357077	0.0440065	1.58724e-07
0.000985525	0.0606513	6.03771e-07
1.48151e-05	0.0800703	1.19823e-08
1.96e-05	0.1177	2.33021e-08
7.90015e-12	0.146831	1.17171e-14
1.54717e-07	0.190886	2.98316e-10
0.000112829	0.255985	2.91742e-07
1.06189e-07	0.327355	3.51127e-10
9.03383e-06	0.392428	3.58094e-08
7.26422e-08	0.489522	3.59192e-10
6.10496e-08	0.638078	3.93479e-10
2.80829e-07	0.803382	2.27892e-09
1.9295e-05	1	1.94899e-07
1.89122e-08	0.78683	1.5031e-10
5.15115e-05	0.0010884	5.66313e-10
4.76913e-09	0.00282076	1.35885e-13
2.6252e-07	9.70249e+13	0.999996
6.96884e-06	0.0189519	1.33407e-09
9.30253e-07	0.0283994	2.66855e-10
0.000253738	0.0399258	1.0233e-07
2.91843e-05	0.0544363	1.60473e-08
6.32273e-07	0.0708281	4.52351e-10
7.05536e-06	0.103177	7.35307e-09
2.22058e-05	0.128939	2.89211e-08
1.70334e-06	0.163692	2.81641e-09
8.09316e-05	0.221282	1.80896e-07
1.52788e-06	0.276662	4.26976e-09
1.83143e-07	0.333158	6.16318e-10
4.12084e-07	0.406182	1.69072e-09
6.80838e-07	0.52409	3.60425e-09
1.55205e-08	0.661586	1.03718e-10
2.62657e-06	0.80263	2.12946e-08
1.56823e-05	1	1.58407e-07
0.000425036	0.65166	2.79776e-06
2.69192e-07	0.00105274	2.86252e-12
4.41403e-09	0.00267788	1.19397e-13
2.05311e-06	1.4488e+14	1
0.00046997	0.017563	8.33744e-08
4.16163e-07	0.0261981	1.10128e-10
0.047415	0.0360992	1.7289e-05
8.75152e-08	0.0495683	4.3818e-11
2.18851e-07	0.0632525	1.39827e-10
0.00400307	0.0917799	3.71111e-06
4.11208e-06	0.112524	4.67382e-09
5.83136e-05	0.14383	8.47196e-08
2.03847e-08	0.191348	3.93996e-11
2.05197e-07	0.239597	4.96613e-10
5.981e-06	0.283728	1.71411e-08
0.000389877	0.343682	1.35347e-06
2.92863e-09	0.441795	1.30692e-11
2.25338e-06	0.559926	1.27447e-08
3.9822e-05	0.662887	2.66641e-07
4.66865e-05	0.820927	3.87133e-07
2.33393e-06	1	2.3575e-08
1.09305e-07	0.551338	6.08725e-10
3.09695e-05	0.0010164	3.17953e-10
0.000122377	0.00256681	3.17292e-09
9.54731e-08	2.07115e+14	0.999995
0.000195319	0.0164574	3.24692e-08
1.74643e-05	0.024295	4.2858e-09
2.11629e-07	0.0333402	7.127e-11
3.32492	0.0453126	0.00151951
1.37621e-07	0.0575125	7.99489e-11
3.46187e-05	0.0831535	2.90774e-08
0.000276397	0.100481	2.80532e-07
1.04046e-06	0.129619	1.36226e-09
8.81733e-05	0.167548	1.49225e-07
4.71938e-05	0.207836	9.90765e-08
2.81418e-06	0.247369	7.03173e-09
0.000210599	0.298721	6.35456e-07
1.24557e-06	0.374293	4.70919e-09
0.000335411	0.479822	1.62563e-06
0.000251382	0.566298	1.43795e-06
1.51701e-09	0.692533	1.06119e-11
1.30239e-07	0.853242	1.12248e-09
0.0128369	1	0.000129649
0.67296	0.474331	0.00321394
3.81767e-07	0.000989072	3.8141e-12
3.12847e-07	0.00247006	7.80556e-12
5.22072e-08	2.87788e+14	0.999993
7.05032e-07	0.0154556	1.10068e-10
5.70235e-10	0.0227902	1.3127e-13
0.000845699	0.0310125	2.64921e-07
1.51255e-06	0.0419729	6.41273e-10
5.59208e-05	0.0525643	2.96913e-08
0.000183015	0.0754421	1.39465e-07
1.37192e-05	0.0901591	1.24941e-08
9.63226e-09	0.115773	1.12642e-11
